"Timestamp","1. What is your age group?","2. What is your gender?","3. Which province or territory do you currently live in?","4. What is your highest level of education?","5. What is your current employment status?","6. What is your approximate annual household income (before tax)?","7. Do you own or regularly use a smartphone?","8. In the past 3 months, have you used the Internet to do any of the following?","9. How many hours per week do you usually spend on the Internet (for all purposes)?","10. How often do you use social media?","11. Have you ever taken a break or reduced your social media/internet use because you felt you were spending too much time online?","12. How confident do you feel doing most things online (e.g., managing privacy, posting, using apps)?","13. Has your online or social media use negatively affected your personal relationships?","14. Has your online or social media use negatively affected your school, work, or sleep?","15. How would you rate your overall mental health?","16. Overall, how satisfied are you with your life?","17) What do you usually do to maintain your mental well-being? (Optional short answer)"
"2026/01/27 11:40:00 AM EST","15–24","Female","Ontario","Graduate degree","Student","Prefer not to say","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Several times a day","Yes","Somewhat confident","No","School/work","Very good","8","Talk to my family, eat out and sleep "
"2026/01/27 11:40:18 AM EST","25–34","Male","Ontario","College diploma","Student","Prefer not to say","Yes","Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.)","Less than 5 hours","Daily","Yes","Somewhat confident","No","School/work;Sleep","Excellent","10","Prefer not to say"
"2026/01/27 11:40:22 AM EST","25–34","Male","Ontario","College diploma","Employed part-time","Less than $40,000","Yes","Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.)","5-8 hours","A few times a week","No","Confident","Yes","Sleep","Good","8","Watching movie"
"2026/01/27 11:40:48 AM EST","25–34","Prefer not to say","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails","5-8 hours","Less than once a week","Yes","Somewhat confident","Yes","Sleep","Excellent","10","Sleeping "
"2026/01/27 11:40:53 AM EST","25–34","Female","Ontario","Bachelor’s degree","Student","Prefer not to say","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Upload content you created (blog posts, videos, photos, etc.)","5-8 hours","Daily","Yes","Somewhat confident","No","School/work;Sleep","Very good","10","Listening to music or doing exercise"
"2026/01/27 11:41:00 AM EST","25–34","Female","Ontario","Graduate degree","Student","Prefer not to say","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.)","5-8 hours","Several times a day","Yes","Somewhat confident","No","Sleep","Very good","7","Doing Excerise and Meditation "
"2026/01/27 11:41:20 AM EST","25–34","Female","Ontario","High school diploma","Student","Prefer not to say","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","5-8 hours","Daily","No","Very confident","Yes","School/work;Sleep","Good","9","Shopping "
"2026/01/27 11:41:22 AM EST","25–34","Female","Ontario","Graduate degree","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","5-8 hours","Daily","Yes","Somewhat confident","No","None of these","Very good","9","Sleep"
"2026/01/27 11:41:37 AM EST","15–24","Female","Ontario","Bachelor’s degree","Student","Prefer not to say","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","12+ Hours","Daily","No","Somewhat confident","No","Sleep","Good","8","Prayer and meditation "
"2026/01/27 11:43:47 AM EST","25–34","Male","Ontario","Bachelor’s degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Several times a day","No","Very confident","Yes","School/work;Sleep","Poor","0","Gym and video games. "
"2026/01/27 11:46:47 AM EST","35–44","Female","Ontario","Bachelor’s degree","Student","$40,000 – $69,999","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Daily","Yes","Confident","No","None of these","Good","8","I try to pay attention to how I feel, I exercise regularly, I try to spend more time with my family and do activities regardless of the weather. Also, the church is very important to me because I feel like I have a community that supports and understands me."
"2026/01/27 11:48:26 AM EST","15–24","Female","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","12+ Hours","Several times a day","Yes","Somewhat confident","No","None of these","Good","6","Take care of myself, talk to close ones, sometimes spent time alone."
"2026/01/27 11:49:11 AM EST","25–34","Male","Ontario","Graduate degree","Employed part-time","Prefer not to say","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","A few times a week","No","Somewhat confident","No","Sleep","Very good","8","Pray and talk to family"
"2026/01/27 11:57:10 AM EST","45–54","Male","Ontario","Graduate degree","Employed part-time","Less than $40,000","No","Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Less than once a week","No","Very confident","Yes","School/work;Sleep","Good","8","Busy in some activities that boots my mood "
"2026/01/27 12:00:22 PM EST","25–34","Male","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","12+ Hours","Daily","Yes","Confident","No","School/work","Excellent","9","I do that makes me happy and also find my source of happiness like traveling with friends, watching movies and Anime, going out "
"2026/01/27 10:48:09 PM EST","25–34","Male","Ontario","High school diploma","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","8-12 hours","Daily","No","Very confident","No","None of these","Excellent","10","S/O"
"2026/01/27 10:48:23 PM EST","25–34","Male","Ontario","Bachelor’s degree","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Several times a day","Yes","Very confident","Yes","Sleep","Very good","7","Play football"
"2026/01/28 12:45:30 AM EST","25–34","Female","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","Less than 5 hours","Daily","Yes","Confident","Yes","Sleep","Poor","7","Avoid phone"
"2026/01/28 12:38:48 PM EST","35–44","Male","Ontario","Bachelor’s degree","Student","$100,000 – $149,999","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","8-12 hours","Daily","Yes","Somewhat confident","Yes","School/work;Sleep","Very good","8","avoiding overthinking and over worrying and not take everything personally  "
"2026/02/20 12:57:43 AM EST","25–34","Male","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","12+ Hours","Several times a day","No","Very confident","No","School/work;Sleep","Excellent","10","Call friends and watch videos on social media "
"2026/02/20 1:24:27 AM EST","25–34","Male","Ontario","Graduate degree","Employed part-time","$40,000 – $69,999","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","8-12 hours","A few times a week","Yes","Very confident","No","School/work;Sleep","Poor","5","Pray"
"2026/02/20 10:00:29 AM EST","25–34","Male","Ontario","Graduate degree","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Several times a day","Yes","Confident","No","None of these","Good","7","No time for that!"
"2026/02/25 6:28:23 AM EST","25–34","Female","Ontario","Other","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.)","12+ Hours","Daily","Yes","Not at all confident","Yes","School/work;Sleep","Very good","10","therapy"
